license_nbr,license_type,lic_expir_dd,license_status,license_creation_date,industry,business_name,address_building,address_street_name,address_city,address_state,address_zip,contact_phone,address_borough,detail,community_board,council_district,bin,bbl,nta,census_tract,longitude,latitude,location
2049943-DCA,Business,2025-07-31,Active,2017-03-22,Secondhand Dealer - General,"AT&T MOBILITY SUPPLY, LLC",3736,82ND ST,JACKSON HEIGHTS,NY,11372,5616273365,Queens,4.0,403.0,21.0,4030015.0,4012920024.0,,,-73.88425889112477,40.74940148466776,"
,  
(40.749401484667764, -73.88425889112477)"
2075379-1-DCA,Business,2023-11-30,Active,2018-07-11,Electronic Cigarette Dealer,MUKTI 321 PETROELUM INC,25202,UNION TPKE,BELLEROSE,NY,11426,7187495864,Queens,4.0,413.0,23.0,4174554.0,4085650001.0,QN43,157101.0,-73.71836048841745,40.74362578374005,"
,  
(40.74362578374005, -73.71836048841745)"
2064854-DCA,Business,2024-09-30,Active,2018-01-11,Newsstand,"HOSSAIN, TAMANNA S",S/E/C,WEST   14 STREET,NEW YORK,NY,10011,718-864-2070,Manhattan,1.0,102.0,3.0,,,,,-74.00252241397993,40.73975142777679,"
,  
(40.73975142777679, -74.00252241397993)"
1447607-DCA,Business,2024-06-30,Active,2012-10-12,Electronic & Appliance Service,BENSONHURST AUTO SOUND INC.,8635,18TH AVE,BROOKLYN,NY,11214,7182343450,Brooklyn,3.0,311.0,47.0,3166598.0,3063690028.0,,,-74.00338171795059,40.60654473656352,"
,  
(40.606544736563514, -74.00338171795059)"
2071967-1-DCA,Business,2023-11-30,Active,2018-05-29,Electronic Cigarette Dealer,216 SAL DELI & GROCERY CORP,216,AVENUE B,NEW YORK,NY,10009,212-477-1841,Manhattan,1.0,103.0,2.0,1005252.0,1004070037.0,MN22,34.0,-73.97847459385697,40.72884453677296,"
,  
(40.72884453677296, -73.97847459385697)"
0855295-DCA,Business,2024-04-30,Active,2012-03-07,Tow Truck Company,"BRIGHTON COLLISION, INC.",1672,MCDONALD AVE,BROOKLYN,NY,11230,7189980790,Brooklyn,3.0,311.0,44.0,3173471.0,3065820043.0,,,-73.97362114333511,40.6120533074797,"
,  
(40.6120533074797, -73.97362114333511)"
2103669-DCA,Individual,2023-07-31,Active,2022-01-28,Ticket Seller,"AGYEMANG, OSEI",No Building Info,,BRONX,NY,10453,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1241040-DCA,Business,2024-06-30,Active,2006-10-11,Electronic & Appliance Service,"APPLIANCES R. RUSS, INC.",231,QUINTARD ST,STATEN ISLAND,NY,10305,7186883767,Staten Island,5.0,502.0,50.0,5050161.0,5033930046.0,,,-74.08138086939888,40.59172425435218,"
,  
(40.59172425435218, -74.08138086939888)"
2113933-DCA,Individual,2025-09-30,Active,2023-05-31,General Vendor,"MOUSSA, NOUHOU",No Building Info,,BRONX,NY,10460,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2098048-DCA,Individual,2022-02-28,Inactive,2021-03-12,Process Server Individual,"MASOUD, SAADAH",No Building Info,,BROOKLYN,NY,11228,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2105518-DCA,Individual,2024-02-28,Active,2022-04-25,Process Server Individual,"MERCADO, SUEGEIL",No Building Info,,BROOKLYN,NY,11217,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2086609-DCA,Business,2024-06-30,Active,2019-05-30,Electronic & Appliance Service,COMPUTER SMART SHOP LTD,5412,AVENUE N,BROOKLYN,NY,11234,516-984-4888,Brooklyn,3.0,318.0,46.0,3254636.0,3078997501.0,,,-73.9227892720016,40.619197059782216,"
,  
(40.619197059782216, -73.9227892720016)"
2070114-1-DCA,Business,2023-11-30,Active,2018-04-27,Electronic Cigarette Dealer,FIRST CHOICE NEWS INC,639,BROADWAY,NEW YORK,NY,10012,2124772044,Manhattan,1.0,102.0,1.0,1008236.0,1005230038.0,MN23,5501.0,-73.99602411965768,40.72632953855936,"
,  
(40.72632953855936, -73.99602411965768)"
1369420-DCA,Individual,2025-05-31,Active,2010-09-03,Locksmith,"OLIVERI, DINA",No Building Info,,DINGMANS FRY,PA,18328,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
0848293-DCA,Individual,2025-05-31,Active,2003-05-30,Locksmith,"NORRIS JR, WAYNE J",No Building Info,,HICKSVILLE,NY,11801,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2068145-1-DCA,Business,2023-11-30,Active,2018-03-22,Electronic Cigarette Dealer,BHH ENTERPRISE INC,52,RIVINGTON ST,NEW YORK,NY,10002,212-475-7962,Manhattan,1.0,103.0,1.0,1075912.0,1004217501.0,MN27,3601.0,-73.9907537769954,40.72081227275736,"
,  
(40.72081227275736, -73.9907537769954)"
2066635-1-DCA,Business,2023-12-31,Active,2018-02-23,Tobacco Retail Dealer,SWETA ARORA AND SATINDER ARORA,269,W 39TH ST,NEW YORK,NY,10018,212-840-6950,Manhattan,1.0,105.0,3.0,1014496.0,1007890007.0,MN17,113.0,-73.99013544337123,40.75489930122157,"
,  
(40.75489930122157, -73.99013544337123)"
2096979-1-DCA,Business,2023-11-30,Active,2020-11-19,Electronic Cigarette Dealer,KARAN VADHAN,SWC,W 34TH ST,NEW YORK,NY,10001,917-929-6121,Manhattan,1.0,105.0,3.0,1015199.0,1008090045.0,,,-73.98827023617238,40.74998602973073,"
,  
(40.74998602973073, -73.98827023617238)"
1397792-DCA,Business,2024-06-30,Active,2011-06-23,Electronic & Appliance Service,"HATZISTEFANIDIS, STEPHEN",2315,24TH AVE,ASTORIA,NY,11102,7183378788,Queens,4.0,401.0,22.0,4019230.0,4008750003.0,,,-73.92033666771977,40.77578986128961,"
,  
(40.77578986128961, -73.92033666771977)"
0937773-DCA,Business,2017-12-31,Inactive,1996-06-12,Laundry,"IPANEMA LAUNDRY, INC",25,MALCOLM X BLVD,NEW YORK,NY,10026,No Contact Available,Manhattan,1.0,110.0,9.0,1054959.0,1018210031.0,MN11,216.0,-73.95183999373246,40.79907717872112,"
,  
(40.79907717872112, -73.95183999373246)"
1192441-DCA,Individual,2013-10-31,Inactive,2012-03-15,Home Improvement Salesperson,"SHAKOOR, MOHAMMAD N",No Building Info,,BROOKLYN,NY,11235,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1163695-DCA,Individual,2010-03-31,Inactive,2004-04-07,Sightseeing Guide,"THOMPSON, ELIZABETH P.",No Building Info,,BROOKLYN,NY,11222,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2020072-DCA,Individual,2017-02-28,Inactive,2015-03-26,Home Improvement Salesperson,"BROWN, MICHAEL EDWIN",No Building Info,,SCARSDALE,NY,10583,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1136821-DCA,Business,2023-12-31,Inactive,2003-04-21,Tobacco Retail Dealer,"MANIDA FOOD CENTER, INC.",622,MANIDA ST,BRONX,NY,10474,718-861-6394,Bronx,2.0,202.0,17.0,2006661.0,2027650290.0,BX27,93.0,-73.88789517492334,40.81261912301937,"
,  
(40.81261912301937, -73.88789517492334)"
2072438-1-DCA,Business,2023-11-30,Active,2018-06-02,Electronic Cigarette Dealer,"270 MARKET, INC.",270,W 47TH ST,NEW YORK,NY,10036,212-278-8008,Manhattan,1.0,105.0,3.0,1024748.0,1010180061.0,MN17,125.0,-73.98662966054061,40.76003985456557,"
,  
(40.76003985456557, -73.98662966054061)"
2074817-1-DCA,Business,2023-11-30,Active,2018-06-29,Electronic Cigarette Dealer,RIDGE ORGANIC INC,8204,3RD AVE,BROOKLYN,NY,11209,347-531-3741,Brooklyn,3.0,310.0,43.0,3152040.0,3060060037.0,BK31,62.0,-74.0299329007695,40.62625673668451,"
,  
(40.62625673668451, -74.0299329007695)"
2065404-DCA,Business,2019-02-28,Inactive,2018-01-26,Home Improvement Contractor,SUPERSONIC GROUP INC.,5,HIGHLAND LN,STATEN ISLAND,NY,10308,9177806669,Staten Island,5.0,503.0,51.0,5092021.0,5053130031.0,SI54,15603.0,-74.1468599144243,40.53696888166591,"
,  
(40.536968881665906, -74.1468599144243)"
2090417-DCA,Business,2025-02-28,Active,2019-09-10,Home Improvement Contractor,PERSI CONCRETE CORP.,804,JERICHO TPKE,NEW HYDE PARK,NY,11040,5162161801,Outside NYC,,,,,,,,-73.94591110800667,40.72091406112227,
2057901-2-DCA,Business,2024-12-31,Inactive,2017-09-06,Tobacco Retail Dealer,IN AND OUT DELI GRILL CORP,2328,MERMAID AVE,BROOKLYN,NY,11224,7186905896,Brooklyn,3.0,313.0,47.0,3189541.0,3070560001.0,BK21,326.0,-73.99047504549893,40.57598928164313,"
,  
(40.57598928164313, -73.99047504549893)"
2072329-1-DCA,Business,2023-11-30,Active,2018-05-31,Electronic Cigarette Dealer,NEW YORK DELI OF WILLIAMSBURG CORP,82,HAVEMEYER ST,BROOKLYN,NY,11211,718-599-4891,Brooklyn,3.0,301.0,34.0,3062492.0,3023680023.0,BK73,519.0,-73.9561039107654,40.71393139595328,"
,  
(40.713931395953274, -73.9561039107654)"
2073568-1-DCA,Business,2023-11-30,Active,2018-06-16,Electronic Cigarette Dealer,AARON INC,6705,18TH AVE,BROOKLYN,NY,11204,347-729-0830,Brooklyn,3.0,311.0,47.0,3134662.0,3055690006.0,BK28,260.0,-73.99157130078643,40.61775147139107,"
,  
(40.61775147139107, -73.99157130078643)"
2091369-DCA,Business,2024-03-31,Active,2019-10-11,Stoop Line Stand,KAPAMILYA RESTAURANT & BAKE SHOP,6910,ROOSEVELT AVE,WOODSIDE,NY,11377,718-507-0205,Queens,4.0,402.0,26.0,4030351.0,4013010029.0,,,-73.89612325285016,40.74634690919477,"
,  
(40.74634690919477, -73.89612325285016)"
2107613-DCA,Business,2023-07-31,Active,2022-07-20,Secondhand Dealer - General,CENTRAL HUB AUTOMOTIVE REPAIRS INC,496,RALPH AVE,BROOKLYN,NY,11233,6463877452,Brooklyn,3.0,308.0,41.0,3330705.0,3013690046.0,,,-73.92226630837021,40.67234672759652,"
,  
(40.67234672759652, -73.92226630837021)"
1412382-DCA,Business,2024-06-30,Active,2011-10-28,Electronic & Appliance Service,"CREATIVE AUDIO & SECURITY, INC.",355,65TH ST,BROOKLYN,NY,11220,6462089821,Brooklyn,3.0,310.0,38.0,3144152.0,3058170050.0,,,-74.02237906908834,40.638618236936495,"
,  
(40.638618236936495, -74.02237906908834)"
2068686-DCA,Individual,,Inactive,2018-03-30,Home Improvement Salesperson,"GOMEZ, CHRISTINA",No Building Info,,DANBURY,CT,06810,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1387881-DCA,Business,2024-02-28,Active,2011-04-14,Process Serving Agency,"FLASHPOINT INVESTIGATIONS, INC.",8303,24TH AVE,EAST ELMHURST,NY,11370,7186109696,Queens,4.0,403.0,22.0,4023527.0,4010780044.0,,,-73.8859031997765,40.765001523207424,"
,  
(40.765001523207424, -73.8859031997765)"
2051380-2-DCA,Business,2020-12-31,Inactive,2017-04-18,Tobacco Retail Dealer,BRIGHTON'S BEST DELI CORP,1133,BRIGHTON BEACH AVE,BROOKLYN,NY,11235,718-676-0207,Brooklyn,3.0,313.0,48.0,3245666.0,3087170020.0,BK19,61004.0,-73.95583347132629,40.57768296488016,"
,  
(40.577682964880154, -73.95583347132629)"
2072282-1-DCA,Business,2023-11-30,Active,2018-05-31,Electronic Cigarette Dealer,ONE STOP TO SHOP GOURMET & DELI CORP,1339,FULTON ST,BROOKLYN,NY,11216,718-783-2383,Brooklyn,3.0,303.0,36.0,3053248.0,3018490035.0,BK75,249.0,-73.94800310083563,40.68031285103852,"
,  
(40.680312851038515, -73.94800310083563)"
1352907-DCA,Business,2024-04-30,Active,2012-03-20,Tow Truck Company,T.J. AUTO DOCTOR INC.,3602,21ST ST,ASTORIA,NY,11106,7183920250,Queens,4.0,401.0,26.0,4004274.0,4003490016.0,,,-73.93698573884518,40.75969402704384,"
,  
(40.759694027043835, -73.93698573884518)"
2057848-DCA,Individual,2024-03-31,Active,2017-09-05,Sightseeing Guide,"WENDY, PINCUS",No Building Info,,ASTORIA,NY,11105,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2063281-DCA,Business,,Inactive,2017-12-14,Laundries,"USA 88 FORTUNE, INC",10303,37TH AVE,CORONA,NY,11368,7182623756,Queens,4.0,403.0,21.0,4043400.0,4017450031.0,QN26,379.0,-73.86431049126128,40.75330745013604,"
,  
(40.75330745013604, -73.86431049126128)"
2074691-1-DCA,Business,2023-11-30,Active,2018-06-28,Electronic Cigarette Dealer,SWETA ARORA AND SATINDER ARORA,269,W 39TH ST,NEW YORK,NY,10018,212-840-6950,Manhattan,1.0,105.0,3.0,1014496.0,1007890007.0,MN17,113.0,-73.99013544337123,40.75489930122157,"
,  
(40.75489930122157, -73.99013544337123)"
2072661-1-DCA,Business,2023-11-30,Active,2018-06-05,Electronic Cigarette Dealer,NOR CREST SERVICE STATION INC.,17802,UNION TPKE,FLUSHING,NY,11366,No Contact Available,Queens,4.0,408.0,24.0,4155423.0,4072270029.0,QN06,1277.0,-73.78992395740212,40.72632735608902,"
,  
(40.72632735608902, -73.78992395740212)"
2020738-DCA,Business,2024-06-30,Active,2015-04-09,Electronic & Appliance Service,ACCESS INTERNET CAFE CORP,2513,BROADWAY,ASTORIA,NY,11106,7186068866,Queens,4.0,401.0,22.0,4007102.0,4005790016.0,,,-73.92820307873986,40.76331743980176,"
,  
(40.76331743980176, -73.92820307873986)"
2033361-DCA,Business,2024-02-28,Active,2016-02-17,Process Serving Agency,NEW PHAZE PROCESS SERVICE INC,845,SOUTHERN DR,FRANKLIN SQUARE,NY,11010,5168306425,Outside NYC,,,,,,,,-73.94591110800667,40.72091406112227,
1352473-DCA,Business,2021-12-31,Inactive,2010-04-30,Tobacco Retail Dealer,HEIGHTS DELI AND CONVENIENCE CORP.,89,MONTAGUE ST,BROOKLYN,NY,11201,917-202-5422,Brooklyn,3.0,302.0,33.0,3255619.0,3002427501.0,BK09,501.0,-73.99561847871712,40.69516274603665,"
,  
(40.69516274603665, -73.99561847871712)"
2101360-DCA,Individual,2023-04-30,Inactive,2021-09-08,Pedicab Driver,"DISALVO, DESMOND",No Building Info,,BROOKLYN,NY,11215,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2083544-2-DCA,Business,2022-11-30,Inactive,2019-03-21,Electronic Cigarette Dealer,PHIL UP PETROLEUM INC.,2955,CROPSEY AVE,BROOKLYN,NY,11214,917-660-2028,Brooklyn,3.0,313.0,47.0,3188542.0,3069970325.0,BK21,348.0,-73.98631589897815,40.58296066050316,"
,  
(40.58296066050316, -73.98631589897815)"
0730691-DCA,Business,2024-06-30,Active,1994-06-17,Electronic & Appliance Service,"J & R TELEVISION & AIR CONDITIONING SERVICE & SALES, INC",108,7TH AVE,BROOKLYN,NY,11215,7186383040,Brooklyn,3.0,306.0,39.0,3020201.0,3009570039.0,,,-73.97575965466343,40.67404200287496,"
,  
(40.674042002874955, -73.97575965466343)"
2105522-1-DCA,Business,2023-12-31,Active,2022-04-25,Tobacco Retail Dealer,HUNTS POINT DELI CORP,1331,SENECA AVE,BRONX,NY,10474,9174718703,Bronx,2.0,202.0,17.0,2006383.0,2027610139.0,,,-73.8862043005336,40.81907305325831,"
,  
(40.81907305325831, -73.8862043005336)"
1321830-DCA,Individual,2024-03-31,Active,2009-06-12,Sightseeing Guide,"DEPAOLIS, DAMIEN",No Building Info,,NEW YORK,NY,10002,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2071299-DCA,Business,2024-05-01,Active,2018-05-16,Employment Agency,"CENTRAL PARK RPN, PLLC",590,MADISON AVE,NEW YORK,NY,10022,3475260259,Manhattan,1.0,105.0,4.0,1035778.0,1012920015.0,,,-73.972478754967,40.762145306022575,"
,  
(40.762145306022575, -73.972478754967)"
2067463-1-DCA,Business,2023-11-30,Active,2018-03-08,Electronic Cigarette Dealer,559 SMOKE SHOP INC,559,4TH AVE,BROOKLYN,NY,11215,718-404-7897,Brooklyn,3.0,307.0,39.0,3023892.0,3010470001.0,BK37,141.0,-73.99214912495523,40.66622442041491,"
,  
(40.66622442041491, -73.99214912495523)"
2016497-DCA,Business,2019-02-28,Inactive,2014-12-16,Home Improvement Contractor,EXEL CONSTRUCTION CORP,2811,213TH ST,BAYSIDE,NY,11360,6463274000,Queens,4.0,411.0,19.0,4133778.0,4060130018.0,QN46,1093.0,-73.77633821647993,40.77638533058267,"
,  
(40.77638533058267, -73.77633821647993)"
2067037-1-DCA,Business,2023-11-30,Active,2018-02-28,Electronic Cigarette Dealer,ZEE SMOKE & COVENIENCE INC,246,E 14TH ST,NEW YORK,NY,10003,2127777466,Manhattan,1.0,103.0,2.0,1006906.0,1004690030.0,MN22,40.0,-73.98611553449003,40.73283384080331,"
,  
(40.73283384080331, -73.98611553449003)"
2107665-DCA,Business,2024-06-30,Active,2022-07-21,Electronic & Appliance Service,STAR TECH WIRELESS CORP,113,DYCKMAN ST,NEW YORK,NY,10040,9178499433,Manhattan,1.0,112.0,10.0,1064707.0,1022170001.0,,,-73.92504157190068,40.86208424781552,"
,  
(40.86208424781552, -73.92504157190068)"
2074851-1-DCA,Business,2023-11-30,Active,2018-07-02,Electronic Cigarette Dealer,GALAXY STATION & MINIMART INC.,8505,ASTORIA BLVD,EAST ELMHURST,NY,11370,7185058055,Queens,4.0,403.0,22.0,4024048.0,4010970001.0,QN28,329.0,-73.8838825361389,40.76447251347263,"
,  
(40.764472513472626, -73.8838825361389)"
2056881-DCA,Individual,2025-05-31,Active,2017-08-10,Locksmith,"GIORDANO, FRANK A",No Building Info,,Staten Island,NY,10301,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1328994-DCA,Business,2024-06-30,Active,2009-08-11,Electronic & Appliance Service,COSTCO WHOLESALE CORPORATION,517,E 117TH ST,NEW YORK,NY,10035,718-965-7603,Manhattan,1.0,111.0,8.0,1088112.0,1017160008.0,,,-73.93240828404274,40.79563376641092,"
,  
(40.795633766410916, -73.93240828404274)"
2107509-DCA,Business,2024-03-31,Active,2022-07-15,Stoop Line Stand,STUYVESANT GOURMET DELI & GROCERY INC. I,440,E 14TH ST,NEW YORK,NY,10009,No Contact Available,Manhattan,1.0,103.0,2.0,1006019.0,1004410029.0,,,-73.98120170193275,40.73079379069769,"
,  
(40.73079379069769, -73.98120170193275)"
2043586-DCA,Business,2024-04-30,Active,2016-09-13,Tow Truck Company,OZ TOWING & RECOVERY INC,9820,LINDEN BLVD,OZONE PARK,NY,11417,No Contact Available,Queens,4.0,410.0,32.0,4248591.0,4115190074.0,,,-73.8368914218421,40.674727668325446,"
,  
(40.674727668325446, -73.8368914218421)"
2073129-1-DCA,Business,2023-11-30,Active,2018-06-12,Electronic Cigarette Dealer,WHITE PLAINS FOODS INC,3766,WHITE PLAINS RD,BRONX,NY,10467,347-324-1706,Bronx,2.0,212.0,12.0,2058058.0,2046660049.0,BX44,390.0,-73.86303290918094,40.88314499519182,"
,  
(40.88314499519182, -73.86303290918094)"
2072939-1-DCA,Business,2021-11-30,Inactive,2018-06-08,Electronic Cigarette Dealer,BRIGHTON'S BEST DELI CORP,1133,BRIGHTON BEACH AVE,BROOKLYN,NY,11235,718-676-0207,Brooklyn,3.0,313.0,48.0,3245666.0,3087170020.0,BK19,61004.0,-73.95583347132629,40.57768296488016,"
,  
(40.577682964880154, -73.95583347132629)"
2089810-DCA,Business,2020-08-17,Inactive,2019-08-21,Garage,THE HERTZ CORPORATION,500,W 43RD ST,NEW YORK,NY,10036,2124865912,Manhattan,1.0,104.0,3.0,1076215.0,1010717501.0,MN15,129.0,-73.99509439172174,40.76033970305452,"
,  
(40.76033970305452, -73.99509439172174)"
2078561-DCA,Individual,2019-04-30,Inactive,2018-09-26,Pedicab Driver,"OUEDRAOGO, SENI",No Building Info,,BROOKLYN,NY,11238,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1270248-DCA,Individual,2009-10-31,Inactive,2007-10-11,Home Improvement Salesperson,"SARAGIAS, NIKOLAOS",No Building Info,,COLLEGE POINT,NY,11356,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2034524-DCA,Individual,2018-02-28,Inactive,2016-03-16,Process Server Individual,"JEFFREY, CHRISTINA",No Building Info,,NEW YORK,NY,10030,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
0981815-DCA,Individual,2005-10-31,Inactive,2003-01-27,Home Improvement Salesperson,"SIMONE, MICHAEL",No Building Info,,FREEHOLD,NJ,07728,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2003841-1013-DCA,Business,2021-12-31,Inactive,2014-02-24,Tobacco Retail Dealer,DYKER HEIGHTS DELI INC,8623,5TH AVE,BROOKLYN,NY,11209,7188337777,Brooklyn,3.0,310.0,43.0,3153775.0,3060510012.0,BK31,160.0,-74.02637530248136,40.6212895364032,"
,  
(40.621289536403204, -74.02637530248136)"
2066337-1-DCA,Business,2023-12-31,Active,2018-02-20,Tobacco Retail Dealer,BIG APPLE SMOKE SHOP AND ORGANIC CORP,3542,BROADWAY,NEW YORK,NY,10031,9294229519,Manhattan,1.0,109.0,7.0,1061928.0,1020770001.0,MN04,229.0,-73.95032779261946,40.82657590377374,"
,  
(40.82657590377374, -73.95032779261946)"
2097768-DCA,Business,2024-06-30,Active,2021-02-19,Electronic & Appliance Service,WARRANTY LOGISTICS LLC,425,LEXINGTON AVE,NEW YORK,NY,10017,6154453228,Manhattan,1.0,106.0,4.0,1036162.0,1012980023.0,,,-73.97531967341268,40.752424063240085,"
,  
(40.752424063240085, -73.97531967341268)"
2056602-DCA,Business,2020-03-31,Inactive,2017-08-03,Stoop Line Stand,KARMA PRITO INC,590,MIDLAND AVE,STATEN ISLAND,NY,10306,917-716-8991,Staten Island,5.0,502.0,50.0,5054764.0,5038150018.0,SI45,11202.0,-74.09254061417417,40.5719971395947,"
,  
(40.5719971395947, -74.09254061417417)"
2068698-1-DCA,Business,2023-11-30,Active,2018-04-02,Electronic Cigarette Dealer,NYC SMOKES & MORE INC.,104,MACDOUGAL ST,NEW YORK,NY,10012,212-466-3636,Manhattan,1.0,102.0,1.0,1008689.0,1005400001.0,MN23,65.0,-74.00098860367115,40.72939000611557,"
,  
(40.72939000611557, -74.00098860367115)"
2072697-1-DCA,Business,2023-11-30,Active,2018-06-05,Electronic Cigarette Dealer,MILK FARM GROCERY OF JUSTIN INC.,2865,HARWAY AVE,BROOKLYN,NY,11214,718-265-6355,Brooklyn,3.0,313.0,47.0,3187041.0,3069050001.0,BK26,308.0,-73.98411149977025,40.58766222139959,"
,  
(40.58766222139959, -73.98411149977025)"
2105523-1-DCA,Business,2023-12-31,Active,2022-04-25,Tobacco Retail Dealer,5 FINGERBOARD GAS CORP,5,FINGERBOARD RD,STATEN ISLAND,NY,10305,7186821421,Staten Island,5.0,501.0,49.0,5043104.0,5028640057.0,,,-74.06274980545506,40.609253239252695,"
,  
(40.609253239252695, -74.06274980545506)"
2043749-1-DCA,Business,2021-12-31,Inactive,2016-09-15,Tobacco Retail Dealer,SMOKESHOP NEWSSTAND INC.,1500,SHEEPSHEAD BAY RD,BROOKLYN,NY,11235,6315683047,Brooklyn,3.0,315.0,48.0,3204943.0,3074590094.0,BK17,606.0,-73.95375691757567,40.58727523197098,"
,  
(40.58727523197098, -73.95375691757567)"
2029258-DCA,Business,2024-03-31,Active,2015-10-06,Stoop Line Stand,MARYS FLORIST CORP,128,WYCKOFF AVE,BROOKLYN,NY,11237,7183664528,Brooklyn,3.0,304.0,37.0,3074248.0,3032590036.0,,,-73.91789123190965,40.70346665465181,"
,  
(40.70346665465181, -73.91789123190965)"
1280460-DCA,Individual,2025-05-31,Active,2013-08-20,Locksmith,"HANLON, MICHAEL H.",No Building Info,,YORKTOWN HEIGHTS,NY,10598,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1417171-DCA,Business,2024-06-30,Active,2012-01-10,Electronic & Appliance Service,NATWL COMPUTER CORP.,6721,MAIN ST,FLUSHING,NY,11367,7182684017,Queens,4.0,408.0,24.0,4141924.0,4065320002.0,,,-73.82532312601938,40.733745203383705,"
,  
(40.733745203383705, -73.82532312601938)"
2040349-DCA,Individual,2024-07-31,Active,2016-07-14,Ticket Seller,"TRAORE, DIADJE",No Building Info,,BRONX,NY,10457,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1179496-DCA,Business,2024-05-01,Active,2004-09-22,Employment Agency,"SAMARITAN SERVICES, INC.",25,CHAPEL ST,BROOKLYN,NY,11201,7188341911,Brooklyn,3.0,302.0,33.0,3335884.0,3001180006.0,,,-73.9859678738232,40.69725074222704,"
,  
(40.697250742227034, -73.9859678738232)"
0925790-DCA,Business,2024-03-31,Active,1995-10-23,Stoop Line Stand,THE VINEGAR FACTORY INC,431,E 91ST ST,NEW YORK,NY,10128,2129870885,Manhattan,1.0,108.0,5.0,1050755.0,1015710019.0,,,-73.94621395621039,40.779738053799086,"
,  
(40.779738053799086, -73.94621395621039)"
0885039-DCA,Business,2021-02-28,Inactive,2007-10-25,Home Improvement Contractor,"BERETIN, NEDILJKO",1248,40TH ST,BROOKLYN,NY,11218,7188711504,Brooklyn,3.0,312.0,39.0,3135491.0,3055890033.0,BK88,224.0,-73.9879939750202,40.64073327311908,"
,  
(40.64073327311908, -73.9879939750202)"
2058467-DCA,Individual,2024-02-28,Active,2017-09-20,Process Server Individual,"FELDMAN, ALAN",No Building Info,,NESCONSET,NY,11767,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2075332-1-DCA,Business,2021-11-30,Inactive,2018-07-10,Electronic Cigarette Dealer,"HANNA & JINA NY, INC.",9,KNOLLS CRES,BRONX,NY,10463,No Contact Available,Bronx,2.0,208.0,11.0,2083248.0,2057230066.0,BX29,29302.0,-73.9172949144552,40.87887649083584,"
,  
(40.87887649083584, -73.9172949144552)"
2070508-1-DCA,Business,2023-11-30,Active,2018-05-04,Electronic Cigarette Dealer,CHARLIE'S NEWSSTAND II INC,200,MADISON AVE,NEW YORK,NY,10016,862-571-9010,Manhattan,1.0,105.0,4.0,1017122.0,1008650014.0,MN20,82.0,-73.98241295747745,40.74852782312925,"
,  
(40.748527823129244, -73.98241295747745)"
2061655-DCA,Business,2021-12-31,Inactive,2017-11-27,Laundries,YU FORTUNE LAUNDROMAT & DRY CLEANER INC,11706,JAMAICA AVE,RICHMOND HILL,NY,11418,6468535591,Queens,4.0,409.0,29.0,4195866.0,4093270003.0,QN54,122.0,-73.83239113622209,40.69956416602358,"
,  
(40.69956416602358, -73.83239113622209)"
2107536-DCA,Individual,2023-07-31,Active,2022-07-15,Ticket Seller,"PIERRE, KESNER",No Building Info,,BROOKLYN,NY,11236,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1225509-DCA,Business,2024-04-30,Active,2012-05-02,Tow Truck Company,HELMS BROS. INC.,20824,NORTHERN BLVD,BAYSIDE,NY,11361,7186318181,Queens,4.0,411.0,19.0,4156686.0,4073050030.0,,,-73.77481959169609,40.75887635956119,"
,  
(40.758876359561185, -73.77481959169609)"
1231805-DCA,Business,2024-05-01,Active,2006-07-11,Employment Agency,"BRET ADAMS, LIMITED",448,W 44TH ST,NEW YORK,NY,10036,2127655630,Manhattan,1.0,104.0,3.0,1026382.0,1010530055.0,,,-73.99309100046669,40.76031215288976,"
,  
(40.76031215288976, -73.99309100046669)"
